subject,predicate,object
Examination of a Witch painting,has title,Examination of a Witch
Examination of a Witch painting,has creator,Tompkins Harrison Matteson
Examination of a Witch painting,has type,painting
Examination of a Witch painting,is held by,Peabody Essex Museum
Examination of a Witch painting,has format,oil on canvas
Examination of a Witch painting,has height,97.8 cm
Examination of a Witch painting,has width,137 cm
Examination of a Witch painting,has date of production,1853
Examination of a Witch painting,is subject of,Mary Fisher
Examination of a Witch painting,is subject of,Salem witch trials
